pir,avg_delay, throughput, max_delay, total_energy, rpackets         , rflits
0.01,25.078,0.0791719,193,8.896310000000001e-06,5064,40536
0.01,25.6832,0.0827949,258,8.935300000000001e-06,5297,42391
0.01,24.1872,0.0796621,196,8.901209999999999e-06,5096,40787
0.01,25.5427,0.08071680000000001,283,8.920389999999999e-06,5167,41327
0.01,25.3749,0.0816074,174,8.9219e-06,5223,41783
0.01,23.5502,0.0806465,151,8.9024e-06,5162,41291
0.01,24.3782,0.0799395,202,8.906949999999999e-06,5114,40929
0.01,24.6641,0.081875,173,8.911449999999999e-06,5240,41920
0.01,24.2497,0.0794492,190,8.90734e-06,5082,40678
0.01,25.0592,0.0815801,225,8.926120000000001e-06,5221,41769
0.011,27.0122,0.0861406,333,8.97673e-06,5513,44104
0.011,26.5952,0.0870547,205,9.001070000000001e-06,5573,44572
0.011,26.0687,0.08741409999999999,217,9.00118e-06,5593,44756
0.011,26.6123,0.0872305,209,8.995380000000001e-06,5582,44662
0.011,26.385,0.0873496,166,9.013570000000001e-06,5590,44723
0.011,27.3441,0.0876719,205,8.99556e-06,5612,44888
0.011,27.0679,0.0878398,232,8.993349999999999e-06,5624,44974
0.011,27.027,0.08911520000000001,172,9.01671e-06,5703,45627
0.011,26.4172,0.0879668,221,9.00973e-06,5631,45039
0.011,26.9408,0.0883652,197,9.028319999999999e-06,5655,45243
0.012,32.5708,0.096707,358,9.11296e-06,6191,49514
0.012,31.0154,0.0951328,231,9.11607e-06,6085,48708
0.012,29.6891,0.0946641,294,9.0825e-06,6060,48468
0.012,29.4054,0.0939277,205,9.08119e-06,6014,48091
0.012,30.1069,0.09488870000000001,284,9.10476e-06,6072,48583
0.012,30.7799,0.09518749999999999,230,9.095540000000001e-06,6092,48736
0.012,31.7893,0.0969961,258,9.12335e-06,6204,49662
0.012,31.1709,0.09643160000000001,305,9.11147e-06,6172,49373
0.012,30.2754,0.0961777,324,9.11316e-06,6155,49243
0.012,31.6093,0.0963574,299,9.101520000000001e-06,6168,49335
0.013,37.124,0.106016,268,9.24168e-06,6784,54280
0.013,36.1594,0.10259,304,9.20671e-06,6567,52526
0.013,34.7009,0.104406,330,9.21298e-06,6683,53456
0.013,36.5558,0.104098,334,9.216210000000001e-06,6662,53298
0.013,34.0419,0.101713,402,9.192140000000001e-06,6510,52077
0.013,38.0567,0.105783,505,9.20942e-06,6771,54161
0.013,35.4313,0.104533,346,9.218050000000001e-06,6689,53521
0.013,33.2565,0.10308,239,9.18213e-06,6597,52777
0.013,33.3854,0.102291,286,9.19533e-06,6546,52373
0.013,35.1722,0.101324,377,9.17092e-06,6486,51878
0.014,44.8816,0.113937,360,9.33104e-06,7291,58336
0.014,44.3679,0.112449,430,9.3021e-06,7194,57574
0.014,41.6383,0.109734,641,9.280559999999999e-06,7020,56184
0.014,44.4058,0.113352,390,9.330320000000001e-06,7259,58036
0.014,45.7552,0.113447,418,9.32709e-06,7262,58085
0.014,46.1829,0.111113,492,9.304069999999999e-06,7108,56890
0.014,45.0382,0.112127,387,9.316349999999999e-06,7175,57409
0.014,43.1166,0.112934,539,9.32604e-06,7232,57822
0.014,43.3162,0.111631,575,9.29624e-06,7144,57155
0.014,55.2427,0.11402,616,9.337970000000001e-06,7298,58378
