_key,delay_max,delay_avg,throughput
mesh4x4_True_32,5062,736.89,0.607111
mesh4x4_True_64,6956,1063.09,0.307333
mesh4x4_True_128,5862,3129.75,0.154222
mesh4x4_False_32,72,11.666,1.25711
mesh4x4_False_64,60,11.6319,1.19856
mesh4x4_False_128,60,11.6319,1.19856
mesh8x8_True_32,9007,1439.41,2.56733
mesh8x8_True_64,5870,1105.72,1.07756
mesh8x8_True_128,8780,1499.87,0.600889
mesh8x8_False_32,122,22.8246,5.13689
mesh8x8_False_64,147,23.376,5.08811
mesh8x8_False_128,121,22.7876,5.09322
mesh16x16_True_32,1221,87.5255,20.5643
mesh16x16_True_64,893,82.2611,20.2609
mesh16x16_True_128,933,83.4374,20.401
mesh16x16_False_32,743,82.4405,20.5472
mesh16x16_False_64,992,88.9743,20.5053
mesh16x16_False_128,905,82.9223,20.5547
mesh32x32_True_32,9000,1321.27,51.7722
mesh32x32_True_64,8402,1248.38,52.6894
mesh32x32_True_128,8962,1322.22,51.3907
mesh32x32_False_32,9054,1309.96,51.9521
mesh32x32_False_64,8762,1268.77,52.3482
mesh32x32_False_128,9085,1284.75,52.2657
mesh50x50_True_32,9548,2038.89,83.4622
mesh50x50_True_64,9515,2019.51,83.4278
mesh50x50_True_128,9477,2009.24,84.3993
mesh50x50_False_32,9259,2005.21,83.3246
mesh50x50_False_64,9348,2018.57,84.0462
mesh50x50_False_128,9515,2025.81,83.5594
